route_avg_temp,route_avg_wind_speed,route_avg_precip,route_avg_humidity,route_avg_visibility,route_avg_pressure,origin_avg_temp,origin_avg_wind_speed,origin_avg_precip,origin_avg_humidity,origin_avg_visibility,origin_avg_pressure,dest_avg_temp,dest_avg_wind_speed,dest_avg_precip,dest_avg_humidity,dest_avg_visibility,dest_avg_pressure,truck_age,load_capacity_pounds,mileage_mpg,age,experience,average_speed_mph,avg_no_of_vehicles,distance,average_hours,route_description,origin_description,dest_description,accident,fuel_type,gender,driving_style,ratings,is_midnight,delay
56.5,6.75,0.0,76.5,6.0,1013.75,74.70833333333333,3.5416666666666665,0.008333333333333333,84.125,5.791666666666667,1018.2083333333334,51.166666666666664,10.5,0.0,64.875,6.0,1027.3333333333333,11,3000.0,19,54,22,42.4,1865.7916666666667,1062.45,21.25,Light rain,Light rain shower,Clear,1,gas,male,conservative,4,1,0
34.5,3.75,0.0,81.0,6.0,1011.5,-3.125,8.5,0.0,47.875,5.25,1032.2916666666667,17.583333333333332,3.875,0.0,76.66666666666667,6.0,1023.2083333333334,12,3000.0,23,52,21,63.41,1461.0,1358.36,27.17,Clear,Partly cloudy,Partly cloudy,0,diesel,male,proactive,8,1,1
65.5,10.0,0.0,70.0,6.0,1001.5,19.083333333333332,10.208333333333334,0.0,78.83333333333333,6.0,1025.9166666666667,25.458333333333332,14.833333333333334,0.016666666666666666,88.95833333333333,1.375,1010.7083333333334,12,3000.0,25,47,9,35.86,1728.875,1050.84,21.02,Light rain,Sunny,Blizzard,1,diesel,male,conservative,8,1,1
55.0,9.0,0.0,80.75,6.0,999.5,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,35.333333333333336,10.625,0.0,79.83333333333333,6.0,1025.7916666666667,10,6000.0,26,50,10,35.29,1653.5,776.33,15.53,Thundery outbreaks possible,Clear,Light snow,0,diesel,male,conservative,4,0,0
41.75,4.75,0.05,82.5,5.0,1014.75,30.291666666666668,10.5,0.0,89.16666666666667,5.375,1015.0833333333334,75.375,9.958333333333334,0.0,56.458333333333336,6.0,1013.5416666666666,9,4000.0,20,47,14,62.0,1690.5416666666667,8994.17,179.88,Moderate or heavy rain shower,Overcast,Clear,0,diesel,male,proactive,4,1,1
48.0,15.5,0.025,86.5,5.5,1011.25,32.583333333333336,6.541666666666667,0.0,61.166666666666664,6.0,1017.375,54.583333333333336,4.541666666666667,0.0,90.45833333333333,4.75,1024.0833333333333,11,4000.0,24,38,4,45.96,1733.125,1590.79,31.82,Clear,Clear,Overcast,1,diesel,Unknown,conservative,2,1,0
53.5,3.0,0.0,80.5,6.0,1018.25,60.75,17.541666666666668,0.0,79.75,6.0,1006.5416666666666,39.875,11.208333333333334,0.0,95.54166666666667,6.0,1016.625,8,3000.0,23,49,8,62.06,1760.5416666666667,817.86,16.36,Clear,Cloudy,Partly cloudy,1,diesel,male,proactive,4,1,0
45.0,8.75,0.0,49.25,4.25,1016.5,23.458333333333332,11.583333333333334,0.004166666666666667,82.04166666666667,5.333333333333333,1022.875,20.583333333333332,17.0,0.004166666666666667,77.45833333333333,2.25,1020.75,10,15000.0,22,46,7,44.02,1543.4583333333333,966.04,19.32,Clear,Overcast,Blizzard,1,diesel,male,conservative,4,1,1
77.0,4.0,0.0,65.5,5.0,1016.75,19.791666666666668,16.791666666666668,0.012500000000000002,91.625,2.8333333333333335,1007.2083333333334,61.083333333333336,7.25,0.0,74.95833333333333,6.0,1014.1666666666666,8,3000.0,20,54,17,40.79,1022.9166666666666,896.17,17.92,Moderate or heavy rain shower,Heavy snow,Sunny,1,diesel,male,conservative,9,1,1
73.0,6.75,0.0,60.25,6.0,1016.0,15.291666666666666,6.083333333333333,0.0,76.875,5.208333333333333,1044.2083333333333,-6.541666666666667,7.5,0.0,90.75,4.541666666666667,1041.8333333333333,5,4000.0,18,48,15,62.0,1704.125,572.66,11.45,Clear,Partly cloudy,Overcast,0,gas,male,proactive,6,0,1
45.5,7.5,0.0,47.25,6.0,1026.25,22.583333333333332,11.833333333333334,0.03333333333333333,94.04166666666667,1.625,1008.5416666666666,28.708333333333332,9.0,0.025000000000000005,72.54166666666667,4.916666666666667,1026.25,12,3000.0,23,36,4,59.21,458.3333333333333,958.67,19.17,Clear,Heavy snow,Overcast,1,diesel,male,proactive,8,1,1
17.0,9.75,0.025,92.5,3.5,1026.25,50.416666666666664,9.708333333333334,0.0,85.41666666666667,5.125,1013.2083333333334,30.916666666666668,5.083333333333333,0.0,35.208333333333336,6.0,1029.875,12,15000.0,18,45,3,43.94,1508.75,641.57,12.83,Heavy snow,Cloudy,Partly cloudy,1,gas,male,conservative,4,0,0
49.0,7.5,0.0,63.5,6.0,1019.75,18.208333333333332,3.5416666666666665,0.0,61.75,6.0,1044.2083333333333,21.041666666666668,7.333333333333333,0.0,44.041666666666664,6.0,1044.1666666666667,9,3000.0,15,49,7,64.47,1732.9583333333333,222.41,4.45,Partly cloudy,Light snow,Clear,0,gas,male,Unknown,8,0,0
41.0,5.75,0.025,97.75,4.0,1012.0,13.875,13.541666666666666,0.012500000000000002,89.5,3.5416666666666665,1023.875,30.5,16.375,0.02916666666666667,84.70833333333333,1.5416666666666667,1013.4166666666666,7,15000.0,16,45,11,35.32,1386.8333333333333,211.56,4.23,Light rain,Blizzard,Blizzard,1,gas,male,conservative,4,0,1
41.5,8.75,0.0,84.0,6.0,1022.75,27.75,9.541666666666666,0.0,55.416666666666664,6.0,1027.8333333333333,0.5416666666666666,7.958333333333333,0.0,90.375,4.291666666666667,1026.1666666666667,9,15000.0,23,57,28,64.32,1791.2916666666667,512.74,10.25,Clear,Clear,Heavy snow,1,Unknown,male,Unknown,9,0,0
63.5,2.0,0.0,79.25,3.5,1014.5,-3.25,14.458333333333334,0.0,66.04166666666667,4.583333333333333,1022.3333333333334,14.416666666666666,7.666666666666667,0.0,47.541666666666664,5.416666666666667,1028.375,10,15000.0,23,53,15,63.16,1627.7083333333333,705.5,14.11,Clear,Partly cloudy,Overcast,0,diesel,male,proactive,4,0,1
71.0,11.0,0.0,80.0,6.0,1014.75,32.583333333333336,10.291666666666666,0.0,50.666666666666664,6.0,1017.0,49.375,6.291666666666667,0.0,41.166666666666664,6.0,1023.1666666666666,10,4000.0,15,37,6,45.35,1863.875,2408.09,48.16,Cloudy,Clear,Clear,1,gas,male,conservative,2,1,0
76.25,6.25,0.025,69.75,5.0,1012.5,17.666666666666668,13.083333333333334,0.0,67.875,6.0,1037.3333333333333,-6.541666666666667,7.5,0.0,90.75,4.541666666666667,1041.8333333333333,7,10000.0,25,48,10,47.36,1858.875,330.15,6.6,Moderate or heavy rain shower,Sunny,Overcast,0,diesel,male,conservative,7,0,0
29.0,2.0,0.0,92.25,3.0,1026.25,73.66666666666667,7.458333333333333,0.0,67.33333333333333,6.0,1015.5416666666666,29.125,9.5,0.016666666666666666,83.16666666666667,1.375,1017.6666666666666,12,15000.0,24,47,14,38.69,1898.9166666666667,1668.64,33.37,Clear,Clear,Heavy snow,0,diesel,male,conservative,6,1,1
51.5,7.25,0.0,77.0,6.0,1013.75,22.208333333333332,9.125,0.0,66.54166666666667,5.833333333333333,1021.0833333333334,33.041666666666664,7.791666666666667,0.0,61.291666666666664,6.0,1013.4583333333334,12,3000.0,23,36,4,59.21,1754.625,438.02,8.76,Partly cloudy,Light snow,Clear,0,diesel,male,proactive,8,0,0
53.0,5.5,0.0,75.5,4.75,1019.75,40.5,10.25,0.0,78.41666666666667,6.0,1021.3333333333334,35.541666666666664,13.583333333333334,0.012500000000000002,75.29166666666667,3.75,1015.4583333333334,10,10000.0,23,40,6,49.74,1754.75,313.89,6.28,Clear,Overcast,Moderate snow,1,diesel,Unknown,conservative,4,0,1
67.5,10.0,0.0,61.75,6.0,1015.75,31.0,3.9166666666666665,0.0,92.33333333333333,3.5833333333333335,1014.5,38.458333333333336,6.625,0.0,52.458333333333336,6.0,1020.5,8,4000.0,24,42,6,37.74,1093.9166666666667,1103.33,22.07,Overcast,Heavy snow,Clear,0,diesel,male,conservative,4,1,1
54.5,10.75,0.025,71.5,5.0,1012.75,19.166666666666668,10.208333333333334,0.0,74.33333333333333,4.458333333333333,1019.6666666666666,74.08333333333333,4.125,0.0,85.875,6.0,1016.2916666666666,9,10000.0,15,44,12,59.99,1549.9583333333333,1817.5,36.35,Moderate or heavy rain shower,Moderate snow,Patchy rain possible,1,gas,male,proactive,8,1,0
56.5,9.5,0.0,69.0,5.75,1012.75,67.16666666666667,6.416666666666667,0.03333333333333333,85.91666666666667,3.6666666666666665,1021.4583333333334,25.166666666666668,19.583333333333332,0.0,48.375,6.0,1027.8333333333333,9,4000.0,17,50,8,48.74,1227.1666666666667,1618.56,32.37,Partly cloudy,Moderate rain,Clear,0,gas,male,conservative,8,1,0
63.5,8.5,0.0,61.5,6.0,1010.25,34.083333333333336,6.5,0.008333333333333333,90.125,4.0,1015.875,39.208333333333336,7.75,0.0,71.875,6.0,1011.875,11,4000.0,19,42,9,43.5,1315.6666666666667,370.26,7.41,Clear,Clear,Clear,0,gas,male,conservative,7,0,0
35.0,11.75,0.0,73.0,4.0,1008.25,50.416666666666664,9.708333333333334,0.0,85.41666666666667,5.125,1013.2083333333334,56.375,9.791666666666666,0.0,77.66666666666667,6.0,1009.8333333333334,12,3000.0,26,52,22,63.63,1508.75,240.42,4.81,Blowing snow,Cloudy,Clear,1,diesel,male,proactive,6,0,0
66.0,5.25,0.0,69.5,6.0,1014.25,39.458333333333336,4.416666666666667,0.0,74.83333333333333,6.0,1023.25,1.7916666666666667,6.25,0.0,91.5,4.125,1030.125,8,3000.0,24,55,12,61.28,1802.375,1227.0,24.54,Clear,Sunny,Partly cloudy,1,diesel,male,proactive,6,1,0
23.0,7.0,0.0,81.5,6.0,1021.25,-2.4166666666666665,2.8333333333333335,0.0,82.58333333333333,6.0,1037.4166666666667,12.5,12.166666666666666,0.0,57.375,6.0,1032.3333333333333,9,10000.0,23,50,8,60.8,1797.0,852.12,17.04,Cloudy,Sunny,Overcast,1,diesel,male,proactive,7,1,0
58.5,15.25,0.0,87.75,5.25,1010.5,22.208333333333332,16.875,0.0,89.95833333333333,2.0833333333333335,1019.125,52.833333333333336,16.416666666666668,0.008333333333333333,64.25,5.791666666666667,1017.5833333333334,10,10000.0,17,41,13,54.35,605.5833333333334,791.64,15.83,Light rain,Blowing snow,Sunny,1,gas,male,conservative,6,0,0
66.0,8.75,0.0,39.75,6.0,1015.5,15.791666666666666,8.291666666666666,0.0,83.16666666666667,5.875,1028.5833333333333,55.0,8.875,0.0,69.91666666666667,6.0,1016.0416666666666,8,3000.0,20,54,17,40.79,1782.0833333333333,761.13,15.22,Clear,Clear,Cloudy,0,diesel,male,conservative,9,0,0
42.5,13.0,0.0,64.75,4.75,1015.5,55.25,10.041666666666666,0.04583333333333334,84.95833333333333,4.791666666666667,1010.625,23.25,5.291666666666667,0.0,63.625,6.0,1024.7083333333333,14,6000.0,23,55,24,37.45,1731.75,2448.19,48.96,Clear,Heavy rain,Partly cloudy,1,diesel,male,conservative,6,1,0
72.25,7.75,0.0,80.0,4.75,1016.5,36.416666666666664,13.25,0.0,51.958333333333336,6.0,1037.9583333333333,20.666666666666668,6.041666666666667,0.0,40.666666666666664,6.0,1042.1666666666667,12,3000.0,25,48,14,59.18,1781.5416666666667,839.3,16.79,Sunny,Sunny,Sunny,1,diesel,male,proactive,4,1,0
43.5,10.25,0.0,80.25,6.0,1009.75,27.875,3.9166666666666665,0.0,88.20833333333333,5.583333333333333,1030.9583333333333,32.333333333333336,5.541666666666667,0.0,80.83333333333333,6.0,1032.0,10,3000.0,20,41,3,44.7,1769.7916666666667,433.01,8.66,Light rain shower,Light snow,Overcast,1,gas,male,conservative,3,0,0
43.0,5.25,0.0,60.0,6.0,1019.5,75.66666666666667,5.041666666666667,0.0,81.625,6.0,1013.75,57.875,9.75,0.0,19.625,6.0,1021.3333333333334,9,20000.0,27,45,22,46.28,1747.5,2288.87,45.78,Overcast,Clear,Sunny,0,diesel,male,conservative,9,1,1
58.75,7.0,0.0,71.0,6.0,1017.0,31.375,4.125,0.0,78.95833333333333,3.7916666666666665,1012.4583333333334,28.541666666666668,9.083333333333334,0.016666666666666666,71.20833333333333,4.75,1019.4583333333334,10,6000.0,17,52,18,61.0,1435.7916666666667,1674.51,33.49,Sunny,Patchy heavy snow,Cloudy,0,gas,female,proactive,4,1,1
52.25,7.75,0.0,80.0,6.0,1023.0,20.5,6.666666666666667,0.0,56.458333333333336,6.0,1022.625,-1.3333333333333333,9.583333333333334,0.0,70.95833333333333,1.9166666666666667,1026.0,10,3000.0,24,58,21,52.25,1728.9583333333333,534.55,10.69,Sunny,Partly cloudy,Heavy snow,1,diesel,male,conservative,9,0,0
47.0,7.25,0.0,56.5,6.0,1029.0,77.29166666666667,5.125,0.0,64.45833333333333,6.0,1013.6666666666666,-4.875,7.0,0.0,58.583333333333336,5.75,1032.0416666666667,12,3000.0,18,47,3,61.37,1810.0416666666667,1761.12,35.22,Sunny,Partly cloudy,Partly cloudy,1,gas,male,proactive,4,1,1
61.0,7.5,0.0,78.75,6.0,1012.75,35.541666666666664,13.583333333333334,0.012500000000000002,75.29166666666667,3.75,1015.4583333333334,58.0,9.833333333333334,0.0,71.875,6.0,1020.0833333333334,11,3000.0,21,54,18,39.12,1307.875,1319.56,26.39,Partly cloudy,Moderate snow,Overcast,1,gas,male,conservative,6,1,0
75.0,11.75,0.0,67.0,6.0,1012.75,32.916666666666664,5.375,0.03333333333333333,94.625,3.3333333333333335,1012.9166666666666,37.25,7.791666666666667,0.020833333333333332,93.375,4.5,1017.4583333333334,9,4000.0,15,49,10,57.66,1354.25,115.7,2.31,Cloudy,Moderate rain,Light rain,1,gas,male,proactive,4,0,0
40.75,11.0,0.0,61.0,3.0,1017.25,38.291666666666664,10.166666666666666,0.0,75.70833333333333,6.0,1021.2916666666666,36.791666666666664,8.166666666666666,0.0,52.166666666666664,5.833333333333333,1005.0,11,3000.0,17,41,4,37.58,1817.125,1379.59,27.59,Blizzard,Sunny,Sunny,0,gas,male,conservative,4,1,0
55.0,9.5,0.0,89.0,5.5,1013.25,20.958333333333332,8.375,0.0,77.08333333333333,6.0,1026.5833333333333,54.770833333333336,7.791666666666667,0.0020833333333333333,56.645833333333336,5.979166666666667,1017.5833333333334,11,15000.0,20,54,20,42.68,1721.4583333333333,858.38,17.17,Clear,Clear,Sunny,1,gas,male,conservative,7,1,1
78.5,16.5,0.0,51.75,6.0,1008.25,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,31.666666666666668,10.125,0.0,83.45833333333333,5.5,1026.2083333333333,8,15000.0,24,40,3,61.95,1653.5,774.08,15.48,Clear,Clear,Light snow,0,diesel,male,Unknown,3,0,0
65.25,8.75,0.0,52.5,6.0,1014.25,47.458333333333336,5.25,0.0,70.58333333333333,6.0,1019.7083333333334,36.791666666666664,8.166666666666666,0.0,52.166666666666664,5.833333333333333,1005.0,5,15000.0,14,62,19,61.11,1817.7083333333333,1576.84,31.54,Partly cloudy,Partly cloudy,Sunny,1,gas,male,proactive,9,1,0
52.75,7.75,0.0,67.0,3.75,1007.25,35.958333333333336,5.541666666666667,0.0,72.33333333333333,6.0,1009.75,38.791666666666664,5.583333333333333,0.008333333333333333,68.58333333333333,5.958333333333333,1010.4166666666666,12,3000.0,15,49,5,37.11,1771.5,139.34,2.79,Heavy snow,Clear,Sunny,1,gas,male,conservative,2,0,0
63.0,5.5,0.0,74.0,5.75,1019.0,16.75,8.75,0.0,89.79166666666667,3.5,1020.25,13.166666666666666,7.75,0.0,81.91666666666667,5.375,1034.0,11,3000.0,23,44,11,51.4,964.125,664.67,13.29,Clear,Heavy snow,Partly cloudy,1,diesel,male,conservative,8,0,1
36.0,5.25,0.0,77.0,6.0,1017.0,27.958333333333332,6.0,0.0,92.375,3.75,1025.625,28.25,4.916666666666667,0.0,89.41666666666667,5.625,1030.1666666666667,9,20000.0,15,43,5,40.95,1138.6666666666667,416.87,8.34,Clear,Overcast,Light snow,1,gas,male,conservative,3,0,0
71.0,9.0,0.0,45.0,6.0,1012.25,26.208333333333332,7.708333333333333,0.0,42.0,6.0,1023.25,22.583333333333332,11.833333333333334,0.03333333333333333,94.04166666666667,1.625,1008.5416666666666,8,15000.0,18,45,14,38.98,1754.0833333333333,864.59,17.29,Sunny,Sunny,Heavy snow,1,gas,male,conservative,6,1,1
52.0,11.25,0.0,86.5,6.0,1009.75,52.791666666666664,3.2083333333333335,0.0,76.29166666666667,6.0,1017.9583333333334,38.125,7.458333333333333,0.004166666666666667,68.75,5.833333333333333,1010.4583333333334,8,10000.0,23,54,17,59.56,1796.75,1019.19,20.38,Overcast,Clear,Sunny,1,diesel,male,proactive,8,1,0
52.75,8.5,0.0,68.75,4.75,1021.0,32.666666666666664,9.5,0.0,51.958333333333336,6.0,1016.2083333333334,30.083333333333332,4.166666666666667,0.0,96.41666666666667,2.5833333333333335,1004.25,10,4000.0,23,48,8,59.25,1719.5833333333333,4658.06,93.16,Clear,Clear,Heavy snow,1,diesel,male,proactive,4,1,0
47.25,16.5,0.0,85.5,6.0,1003.5,25.916666666666668,2.75,0.0,66.625,6.0,1030.4166666666667,70.20833333333333,4.0,0.004166666666666667,88.83333333333333,5.833333333333333,1017.9166666666666,9,15000.0,19,50,8,52.02,1724.8333333333333,1717.82,34.36,Clear,Clear,Light rain shower,0,gas,male,conservative,3,1,1
51.5,10.0,0.0,95.0,6.0,1012.0,54.583333333333336,4.541666666666667,0.0,90.45833333333333,4.75,1024.0833333333333,31.166666666666668,4.666666666666667,0.0,95.91666666666667,1.625,1023.0,13,15000.0,24,41,4,61.24,1266.4583333333333,656.6,13.13,Overcast,Overcast,Mist,0,diesel,male,proactive,8,0,0
82.5,3.0,0.0,47.25,6.0,1020.75,39.291666666666664,4.833333333333333,0.0375,88.25,2.7083333333333335,1013.9166666666666,33.291666666666664,4.875,0.008333333333333333,83.625,5.083333333333333,1014.875,10,6000.0,18,38,5,42.78,723.875,109.14,2.18,Sunny,Light drizzle,Overcast,1,gas,male,conservative,3,0,0
61.5,5.75,0.0,95.0,3.5,1008.0,19.791666666666668,14.166666666666666,0.0,79.66666666666667,5.791666666666667,1028.6666666666667,34.208333333333336,14.125,0.012500000000000002,85.04166666666667,5.708333333333333,1018.0833333333334,10,6000.0,20,54,21,41.33,1703.7916666666667,368.04,7.36,Light rain shower,Sunny,Overcast,1,gas,male,conservative,7,0,0
65.0,5.25,0.0,80.75,6.0,1019.25,22.833333333333332,5.25,0.0,75.125,5.625,1029.8333333333333,26.375,4.5,0.0,43.458333333333336,6.0,1030.4583333333333,10,6000.0,13,46,5,48.11,1815.9583333333333,268.97,5.38,Clear,Light snow,Partly cloudy,1,gas,male,conservative,3,0,0
44.0,10.5,0.0,59.75,5.25,1009.25,38.666666666666664,6.5,0.0,60.416666666666664,6.0,1016.8333333333334,29.5,15.375,0.0,78.5,3.6666666666666665,1009.5416666666666,6,4000.0,24,44,3,59.86,1738.6666666666667,588.22,11.76,Clear,Overcast,Overcast,1,diesel,male,proactive,8,0,0
65.5,6.5,0.0,77.25,4.75,1010.5,35.958333333333336,3.7916666666666665,0.0,80.33333333333333,6.0,1020.75,49.791666666666664,8.25,0.0,93.0,6.0,1011.0416666666666,7,6000.0,25,55,25,61.93,1776.5,1052.25,21.04,Partly cloudy,Sunny,Cloudy,0,diesel,male,proactive,7,1,0
42.0,12.0,0.0,97.0,6.0,1013.75,7.916666666666667,4.875,0.0,80.75,5.0,1029.5,64.41666666666667,4.916666666666667,0.0,48.416666666666664,6.0,1011.5,8,10000.0,27,51,21,48.99,1670.1666666666667,2947.83,58.96,Overcast,Clear,Clear,1,diesel,male,conservative,8,1,0
54.0,5.25,0.0,57.5,6.0,1020.25,23.0,10.083333333333334,0.0,66.70833333333333,6.0,1030.0833333333333,31.083333333333332,8.75,0.0,80.66666666666667,5.25,1026.625,8,4000.0,24,42,6,37.74,1795.8333333333333,192.83,3.86,Clear,Cloudy,Overcast,1,diesel,male,conservative,4,0,0
69.75,9.25,0.0,89.0,6.0,1012.75,38.666666666666664,7.708333333333333,0.0,72.08333333333333,6.0,1013.375,59.541666666666664,5.395833333333333,0.016666666666666666,83.14583333333333,5.1875,1013.8333333333334,8,6000.0,21,54,18,42.25,1736.5833333333333,581.1,11.62,Clear,Sunny,Moderate rain,0,diesel,male,conservative,7,0,1
60.5,8.25,0.0,55.0,6.0,1009.75,19.791666666666668,16.791666666666668,0.012500000000000002,91.625,2.8333333333333335,1007.2083333333334,19.208333333333332,15.375,0.008333333333333333,90.125,3.0416666666666665,1008.6666666666666,8,4000.0,25,56,17,59.0,1014.5833333333334,76.48,1.53,Cloudy,Heavy snow,Blizzard,0,diesel,male,proactive,4,0,0
69.5,6.75,0.0,58.5,4.75,1018.0,19.208333333333332,4.0,0.0,75.08333333333333,6.0,1025.7083333333333,75.25,8.75,0.0,68.625,6.0,1016.4583333333334,7,6000.0,25,42,5,43.26,1784.0416666666667,2045.33,40.91,Patchy light drizzle,Overcast,Clear,1,diesel,male,conservative,7,1,1
82.0,9.0,0.0,43.75,6.0,1019.0,23.083333333333332,5.75,0.0,54.083333333333336,6.0,1026.0833333333333,29.0,7.0,0.0,73.79166666666667,5.458333333333333,1022.0833333333334,10,4000.0,21,41,10,62.65,1856.5416666666667,720.24,14.4,Sunny,Sunny,Light snow,1,diesel,male,proactive,7,0,0
57.5,12.0,0.0,81.0,6.0,1011.0,55.916666666666664,5.083333333333333,0.0,73.58333333333333,6.0,1022.875,29.75,4.708333333333333,0.0,44.375,6.0,1024.2916666666667,7,3000.0,26,46,6,65.28,1805.9583333333333,1590.79,31.82,Clear,Partly cloudy,Partly cloudy,1,diesel,male,Unknown,3,1,0
60.75,9.25,0.025,86.75,5.0,1009.5,59.770833333333336,3.7083333333333335,0.0,72.64583333333333,6.0,1017.4583333333334,44.833333333333336,9.791666666666666,0.0,98.375,4.125,1005.875,9,4000.0,19,44,19,61.94,1702.7916666666667,380.84,7.62,Light rain,Clear,Overcast,1,gas,male,proactive,7,0,0
28.5,2.5,0.0,87.25,4.0,1022.5,47.708333333333336,6.208333333333333,0.016666666666666666,94.20833333333333,3.9583333333333335,1013.2916666666666,39.916666666666664,4.583333333333333,0.012500000000000002,76.79166666666667,5.791666666666667,1021.6666666666666,13,6000.0,21,47,14,58.57,1300.0,641.57,12.83,Clear,Overcast,Overcast,1,diesel,male,proactive,6,0,0
55.5,5.5,0.05,68.25,5.0,1023.75,23.708333333333332,8.583333333333334,0.0,48.5,6.0,1033.4166666666667,38.291666666666664,13.208333333333334,0.0,67.20833333333333,5.333333333333333,1016.0,11,20000.0,22,47,3,51.84,1682.1666666666667,2512.99,50.26,Moderate or heavy rain shower,Sunny,Clear,1,diesel,male,conservative,8,1,0
63.0,9.0,0.0,83.5,6.0,1011.5,28.333333333333332,9.5,0.0,63.333333333333336,6.0,1017.1666666666666,28.166666666666668,7.541666666666667,0.0,60.166666666666664,4.791666666666667,1024.25,8,3000.0,26,49,1,57.87,1797.1666666666667,709.67,14.19,Clear,Clear,Sunny,1,diesel,male,proactive,3,0,0
54.75,13.25,0.0,53.5,4.75,1012.75,32.583333333333336,10.291666666666666,0.0,50.666666666666664,6.0,1017.0,73.04166666666667,3.1666666666666665,0.0,32.291666666666664,6.0,1021.125,9,3000.0,18,45,14,60.09,1855.5416666666667,2448.19,48.96,Light drizzle,Clear,Clear,0,gas,male,Unknown,5,1,0
